Country Code,Pollutant,Min,Max,Median,Mittelwert,Standardabweichung
HR,PM2.5,1.3,64.4,6.9,17.146666666666665,18.5301247650825
HR,SO2,-2.1,7.4,2.4,2.230769230769231,2.595632426270656
HU,CO,47.0,1730.0665,640.0,704.9477848893333,415.12015086671977
HU,NO2,-1.0,99.5,24.19222,26.307723130120483,18.872015210155407
HU,O3,0.321831,77.8,12.9,21.530051875949365,22.631119272965996
HU,PM10,-1.0,90.0,27.5,29.957868343023254,16.872366839450407
HU,PM2.5,-1.0,184.0,20.0,24.528202556603773,25.652002367726105
HU,SO2,-1.0,98.9,5.5,8.314409,12.93155057523082
ID,O3,-0.999,-0.999,-0.999,-0.999,
ID,PM1,19.536916573842365,42.55937512715658,27.06458330154419,29.720291667514378,11.738738844253277
ID,PM10,32.87012529373169,74.28809483846028,53.81175549825033,53.65665854348077,20.709420358886202
ID,PM2.5,-999.0,44.03824424743652,4.4,-412.7661556107657,548.4957535978643
ID,RELATIVEHUMIDITY,58.19226201375326,59.58995850880941,58.891110261281334,58.891110261281334,0.9883206696948751
ID,TEMPERATURE,27.422541459401447,27.950148582458496,27.68634502092997,27.68634502092997,0.37307457451596315
ID,UM003,3684.545837402344,6003.976114908855,4844.2609761556,4844.2609761556,1640.0848777142498
IE,CO,0.05735562,2270.0,400.0,653.775919124,924.5885542602356
IE,NO2,1.5,65.81,15.774999999999999,20.59187575,17.895270843912602
IE,O3,-1.0,85.16,49.769999999999996,44.90071428571429,24.06767045206102
IE,PM1,0.9315476343035698,0.9315476343035698,0.9315476343035698,0.9315476343035698,
IE,PM10,-1.0,31.1,18.46,16.8162362632996,9.206190605500606
IE,PM2.5,-1.0,26.79,10.385,11.089115260062796,7.055649895360448
IE,RELATIVEHUMIDITY,73.43272336324056,73.43272336324056,73.43272336324056,73.43272336324056,
IE,SO2,-1.0,19.66,2.7,4.477707646363637,6.0462932017601085
IE,TEMPERATURE,9.647246837615969,9.647246837615969,9.647246837615969,9.647246837615969,
IE,UM003,411.7604141235352,411.7604141235352,411.7604141235352,411.7604141235352,
IL,CO,-0.9,0.7,0.4,0.4008474576271186,0.23876310997679007
IL,NO2,0.0028,0.1139,0.019200000000000002,0.01980084745762712,0.012199688210690892
IL,O3,0.001,0.0578,0.0138,0.017309322033898306,0.01435774300340475
IL,PM2.5,10.1,10.1,10.1,10.1,
IL,SO2,-0.0003,0.0034,0.0009,0.0010610169491525425,0.0010213978939815418
IN,CO,0.0,80000.0,880.0,1411.6736561743342,4233.776005045552
IN,NO2,-0.02,952.91,21.26,35.969520383693045,64.2388525967151
IN,O3,-2.45,760.0,12.24,27.17299967254408,64.43782048818863
IN,PM1,136.54353968302408,136.54353968302408,136.54353968302408,136.54353968302408,
IN,PM10,-12.0,1985.0,128.0,177.16003148896465,193.6080994771625
IN,PM2.5,0.0,1060.0,66.0,96.27788079267778,112.49479901543789
IN,RELATIVEHUMIDITY,64.11854203542073,64.11854203542073,64.11854203542073,64.11854203542073,
IN,SO2,-3.23,726.63,9.24,15.917960199004977,41.89891862403786
IN,TEMPERATURE,18.053125381469727,18.053125381469727,18.053125381469727,18.053125381469727,
IN,UM003,33930.10384114584,33930.10384114584,33930.10384114584,33930.10384114584,
IQ,PM2.5,37.8,37.8,37.8,37.8,0.0
IS,CO,204.329,204.329,204.329,204.329,
IS,NO,-1.2306,14.739,3.105035,4.19382125,5.265046168364766
IS,NO2,-1.0,19.0451,3.6401700000000003,4.5991975,6.848288045332105
IS,O3,20.3223,20.3223,20.3223,20.3223,
IS,PM1,0.3,2.13604,1.316665,1.2673425,0.8620011062009529
IS,PM10,-1.0,10.8187,5.05,4.574991818181818,5.1957171063228955
IS,PM2.5,-1.0,9.1754,4.294,2.9130291818181817,3.283010157718578
IS,SO2,-1.0,22.515,-0.3500005,2.072776111111111,5.7527314978478845
IT,CO,0.0,35567.352,500.0,789.6546073239437,2431.6453476500005
IT,NO,0.0,165.3,6.86,19.374420289855074,27.819533887538043
IT,NO2,-1.0,133.21,18.0,24.138592757304963,20.564676910632492
IT,NOX,0.0,204.0,52.5,67.08,59.074784841602536
IT,O3,-9.0,137.218384,35.0,36.96502827619048,26.983930783849342
IT,PM1,1.2,53.217261950174965,4.064732174078624,13.696398824850718,22.277804611729977
IT,PM10,-1.0,113.0,23.0,24.196896118375935,16.650046889929893
IT,PM2.5,-1.0,87.35118993123372,11.0,14.010647893153982,12.563392274409653
IT,RELATIVEHUMIDITY,40.3703867594401,40.3703867594401,40.3703867594401,40.3703867594401,
IT,SO2,-9.0,215.941238,2.47,4.565661162297872,15.912239373026702
IT,TEMPERATURE,12.8511012395223,29.42395846048991,23.673821640014648,21.98296044667562,8.414817751918306
IT,UM003,16577.111653645832,16577.111653645832,16577.111653645832,16577.111653645832,
IZ,PM2.5,27.0,27.0,27.0,27.0,
JO,CO,0.7,0.7,0.7,0.7,
JO,NO2,0.0198,0.0198,0.0198,0.0198,
JO,O3,-0.999,0.023,0.0151,-0.3203,0.5877847139897396
JO,PM2.5,-999.0,15.0,-492.0,-492.0,717.0062761231592
JO,SO2,0.0,0.0,0.0,0.0,
JP,CO,0.0,0.6,0.2,0.19163346613545817,0.07569492133252961
JP,NO,0.0,1.12,0.0,0.0020756533700137555,0.029814402702140592
JP,NO2,0.0,0.052,0.002,0.002734525447042641,0.00286919788539342
JP,NOX,0.0,1.172,0.003,0.004807851239669422,0.031369185019335534
JP,PM2.5,0.0,62.0,4.0,4.560236152510299,3.607570312577236
JP,SO2,0.0,0.05,0.0,0.0007402912621359224,0.0021318684524469092
JP,TEMPERATURE,19.973809560139973,19.973809560139973,19.973809560139973,19.973809560139973,
KE,PM10,0.0,11.0,5.5,5.5,7.7781745930520225
KE,PM2.5,0.0,12.2,5.3,5.833333333333333,6.1174613471057855
KG,PM2.5,50.0,50.0,50.0,50.0,0.0
KR,CO,0.05,9999.0,0.36,154.42039215686276,1232.310642902392
KR,NO2,0.0,9999.0,0.0065,139.2692799442897,1172.6031850648017
KR,O3,0.0014,9999.0,0.037,97.92777104895104,985.1866879249177
KR,PM10,1.0,9999.0,21.0,273.6100278551532,1560.7437275208044
KR,PM2.5,1.0,9999.0,14.0,804.1015277777777,2697.931122012096
KR,SO2,0.0005,9999.0,0.0022,126.0400656862745,1116.2935407732375
KU,PM2.5,-999.0,-999.0,-999.0,-999.0,
KV,PM2.5,18.0,18.0,18.0,18.0,
KW,PM2.5,-999.0,-999.0,-999.0,-999.0,
KZ,PM2.5,19.0,71.0,45.0,45.0,36.76955262170047
LA,CO,0.3,0.3,0.3,0.3,
LA,NO2,0.001,0.001,0.001,0.001,
LA,O3,0.004,0.004,0.004,0.004,
LA,PM10,41.0,41.0,41.0,41.0,
LA,PM2.5,24.0,57.5,31.083333492279053,35.916666746139526,14.965615570014068
LA,SO2,0.044,0.044,0.044,0.044,
LA,TEMPERATURE,26.715833346048992,29.17347224553426,27.944652795791626,27.944652795791626,1.7378131315338767
LK,PM2.5,-999.0,10.0,-494.5,-494.5,713.4707422172264
LT,CO,-1000.0,-1000.0,-1000.0,-1000.0,0.0
LT,NO2,-1.0,-1.0,-1.0,-1.0,0.0
LT,O3,-1.0,-1.0,-1.0,-1.0,0.0
LT,PM10,-1.0,-1.0,-1.0,-1.0,0.0
LT,PM2.5,-1.0,-1.0,-1.0,-1.0,0.0
LT,SO2,-1.0,-1.0,-1.0,-1.0,0.0
LU,CO,280.0,400.0,350.0,343.3333333333333,60.277137733417085
LU,NO,0.6,25.1,4.2,6.122222222222223,7.577231977737282
LU,NO2,3.9,63.6,49.8,36.800000000000004,25.641372818162445
LU,O3,2.0,61.0,28.25,29.75,25.868417036997062
LU,PM10,2.7,14.2,13.0,10.725,5.441430571703242
LU,PM2.5,1.8,9.1,6.5,5.975,3.0685229888878682
LU,SO2,3.8,7.9,4.1,5.266666666666667,2.2854612955229268
LV,CO,373.0,535.0,409.5,431.75,72.7157708707907
LV,NO2,4.213,64.425781,28.4,27.55934372727273,16.150057117553263
LV,O3,-1.0,32.59,-1.0,6.813380727272727,13.526421295911415
LV,PM10,12.0,35.0,17.0,18.11111111111111,7.321960878829598
LV,PM2.5,8.0,15.0,10.0,11.0,2.6457513110645907
LV,SO2,0.201,2.33,0.898,1.199464,0.8824430091543212
MA,PM2.5,5.0,5.0,5.0,5.0,
MD,PM2.5,13.0,13.0,13.0,13.0,
ME,CO,100.0,1250.0,575.5999999999999,616.7166666666667,453.93998905875947
ME,NO2,2.0,37.8,10.296700000000001,15.58705,13.007114933443855
ME,O3,1.9128,82.4,37.80695,38.46051666666667,30.523099542504962
ME,PM10,6.4,64.0,15.0,22.14,23.709238705618535
ME,PM2.5,5.0,62.1,12.9,20.54,23.557440438213998
ME,SO2,2.9594,25.6,12.3,11.803899999999999,8.65910020171457
MF,NO,19.8,19.8,19.8,19.8,
MF,NO2,21.9,21.9,21.9,21.9,
MF,O3,47.6,47.6,47.6,47.6,
MF,PM10,16.9,16.9,16.9,16.9,
MF,PM2.5,7.3,7.3,7.3,7.3,
MG,PM2.5,25.0,25.0,25.0,25.0,
MK,CO,-116.0,6189.76,796.92,1206.0748,1356.1086039261997
MK,NO,0.0,377.7,5.875,37.22380952380952,86.70851348634633
MK,NO2,0.0,38.5629,10.0275,11.33762037037037,8.949745093386944
MK,O3,-1.0,68.4,7.60001,12.034816296296297,18.65855897569761
MK,PM10,-1.0,79.0,48.853,42.04737037037037,26.74582061836686
MK,PM2.5,-1.0,77.71,42.0,37.58876,26.28689879845091
MK,SO2,-1.0,24.2592,4.335805000000001,4.885792721666667,5.123896441999605
ML,PM2.5,-999.0,-999.0,-999.0,-999.0,
MM,O3,0.012,0.012,0.012,0.012,
MM,PM2.5,28.0,28.0,28.0,28.0,
MN,CO,0.0,821.0,32.0,151.5,245.11166286557494
MN,NO2,3.0,153.0,37.0,41.170731707317074,31.260920043261997
MN,O3,2.0,87.0,20.0,28.25,29.95591999684107
MN,PM10,7.0,834.0,124.0,181.14814814814815,177.78524289882046
MN,PM2.5,29.6,217.0,121.0,113.23636363636363,64.75874107373107
MN,SO2,1.0,127.0,16.0,35.97560975609756,36.33970817499643
MT,CO,225.078,2676.71,559.99,1005.442,1151.2013600188864
MT,NO,0.33552,8.14031,3.9385,3.6597540000000004,3.3181471383710517
MT,NO2,3.86126,84.65757,22.91822,35.365429999999996,32.13557021938722
MT,O3,4.00963,97.455,77.42408,57.63476,41.434104842479705
MT,PM10,11.47166,95.11417,21.701665,33.35524833333333,30.758256430663568
MT,PM2.5,4.15491,29.75667,8.56497,10.309652857142856,8.924718896642654
MT,SO2,-1.0,1.65236,0.34006,0.329298,0.9580989873285536
MX,CO,0.0,1242.35824166667,0.63,7.408051619629578,88.45538799929993
MX,NO,0.0,1.1344,0.00578,0.0360438520816397,0.1320635022625978
MX,NO2,0.0,1.7,0.011493,0.024585410156124886,0.12274274432587591
MX,NOX,0.0,1.1363,0.0176,0.04705709387486298,0.11986984616379934
MX,O3,0.0,0.5,0.016,0.02675017628186409,0.05355647977908151
